# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
TPANIC_RS01475	gene-TPANIC_RS01475	TRANSCRIPT_gene-TPANIC_RS01475	protein_coding	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0
TPANIC_RS01480	gene-TPANIC_RS01480	TRANSCRIPT_gene-TPANIC_RS01480	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01485	gene-TPANIC_RS01485	TRANSCRIPT_gene-TPANIC_RS01485	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	2
TPANIC_RS01490	gene-TPANIC_RS01490	TRANSCRIPT_gene-TPANIC_RS01490	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	3
TPANIC_RS01495	gene-TPANIC_RS01495	TRANSCRIPT_gene-TPANIC_RS01495	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	3
TPANIC_RS01505	gene-TPANIC_RS01505	TRANSCRIPT_gene-TPANIC_RS01505	protein_coding	0	1	3	1	1	0	0	0	1	0	2	0	0	1	0
TPANIC_RS01510	gene-TPANIC_RS01510	TRANSCRIPT_gene-TPANIC_RS01510	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	4
TPANIC_RS01520	gene-TPANIC_RS01520	TRANSCRIPT_gene-TPANIC_RS01520	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	3
TPANIC_RS01525	gene-TPANIC_RS01525	TRANSCRIPT_gene-TPANIC_RS01525	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	1
TPANIC_RS01530	gene-TPANIC_RS01530	TRANSCRIPT_gene-TPANIC_RS01530	protein_coding	0	1	0	9	0	0	0	0	9	0	0	0	0	1	0
TPANIC_RS01535	gene-TPANIC_RS01535	TRANSCRIPT_gene-TPANIC_RS01535	protein_coding	0	0	2	8	0	0	0	0	7	0	2	0	0	0	1
TPANIC_RS01540	gene-TPANIC_RS01540	TRANSCRIPT_gene-TPANIC_RS01540	protein_coding	0	0	0	10	0	0	0	0	7	0	0	0	0	0	3
TPANIC_RS01545	gene-TPANIC_RS01545	TRANSCRIPT_gene-TPANIC_RS01545	protein_coding	0	2	3	8	0	0	0	0	5	0	3	0	0	2	3
TPANIC_RS01560	gene-TPANIC_RS01560	TRANSCRIPT_gene-TPANIC_RS01560	protein_coding	0	0	2	8	0	0	0	0	7	0	2	0	0	0	1
TPANIC_RS01565	gene-TPANIC_RS01565	TRANSCRIPT_gene-TPANIC_RS01565	protein_coding	0	0	1	8	0	0	0	0	0	0	1	0	0	0	8
TPANIC_RS01570	gene-TPANIC_RS01570	TRANSCRIPT_gene-TPANIC_RS01570	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
TPANIC_RS01575	gene-TPANIC_RS01575	TRANSCRIPT_gene-TPANIC_RS01575	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
TPANIC_RS01580	gene-TPANIC_RS01580	TRANSCRIPT_gene-TPANIC_RS01580	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01585	gene-TPANIC_RS01585	TRANSCRIPT_gene-TPANIC_RS01585	protein_coding	0	0	0	13	0	0	0	0	12	0	0	0	0	0	1
TPANIC_RS01595	gene-TPANIC_RS01595	TRANSCRIPT_gene-TPANIC_RS01595	protein_coding	0	0	0	13	0	0	0	0	1	0	0	0	0	0	12
TPANIC_RS01610	gene-TPANIC_RS01610	rna-TPANIC_RS01610	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01615	gene-TPANIC_RS01615	TRANSCRIPT_gene-TPANIC_RS01615	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
TPANIC_RS01620	gene-TPANIC_RS01620	rna-TPANIC_RS01620	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS01630	gene-TPANIC_RS01630	TRANSCRIPT_gene-TPANIC_RS01630	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01635	gene-TPANIC_RS01635	TRANSCRIPT_gene-TPANIC_RS01635	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01645	gene-TPANIC_RS01645	TRANSCRIPT_gene-TPANIC_RS01645	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS01655	gene-TPANIC_RS01655	TRANSCRIPT_gene-TPANIC_RS01655	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01660	gene-TPANIC_RS01660	TRANSCRIPT_gene-TPANIC_RS01660	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01665	gene-TPANIC_RS01665	TRANSCRIPT_gene-TPANIC_RS01665	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01670	gene-TPANIC_RS01670	TRANSCRIPT_gene-TPANIC_RS01670	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0
TPANIC_RS01675	gene-TPANIC_RS01675	TRANSCRIPT_gene-TPANIC_RS01675	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS01680	gene-TPANIC_RS01680	TRANSCRIPT_gene-TPANIC_RS01680	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS01690	gene-TPANIC_RS01690	TRANSCRIPT_gene-TPANIC_RS01690	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	1
TPANIC_RS01695	gene-TPANIC_RS01695	TRANSCRIPT_gene-TPANIC_RS01695	protein_coding	0	0	2	3	0	0	0	0	2	0	2	0	0	0	1
TPANIC_RS01700	gene-TPANIC_RS01700	TRANSCRIPT_gene-TPANIC_RS01700	protein_coding	1	0	1	3	0	0	0	0	0	1	1	0	0	0	3
TPANIC_RS01705	gene-TPANIC_RS01705	TRANSCRIPT_gene-TPANIC_RS01705	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0
TPANIC_RS01710	gene-TPANIC_RS01710	TRANSCRIPT_gene-TPANIC_RS01710	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
TPANIC_RS01715	gene-TPANIC_RS01715	TRANSCRIPT_gene-TPANIC_RS01715	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
TPANIC_RS01725	gene-TPANIC_RS01725	TRANSCRIPT_gene-TPANIC_RS01725	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS01770	gene-TPANIC_RS01770	TRANSCRIPT_gene-TPANIC_RS01770	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01775	gene-TPANIC_RS01775	TRANSCRIPT_gene-TPANIC_RS01775	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01780	gene-TPANIC_RS01780	TRANSCRIPT_gene-TPANIC_RS01780	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01785	gene-TPANIC_RS01785	TRANSCRIPT_gene-TPANIC_RS01785	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01795	gene-TPANIC_RS01795	TRANSCRIPT_gene-TPANIC_RS01795	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TPANIC_RS01800	gene-TPANIC_RS01800	TRANSCRIPT_gene-TPANIC_RS01800	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01810	gene-TPANIC_RS01810	TRANSCRIPT_gene-TPANIC_RS01810	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01820	gene-TPANIC_RS01820	rna-TPANIC_RS01820	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01825	gene-TPANIC_RS01825	TRANSCRIPT_gene-TPANIC_RS01825	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01860	gene-TPANIC_RS01860	TRANSCRIPT_gene-TPANIC_RS01860	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
TPANIC_RS01865	gene-TPANIC_RS01865	TRANSCRIPT_gene-TPANIC_RS01865	protein_coding	0	0	1	3	0	0	0	0	0	0	1	0	0	0	3
TPANIC_RS01880	gene-TPANIC_RS01880	TRANSCRIPT_gene-TPANIC_RS01880	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	3
TPANIC_RS01885	gene-TPANIC_RS01885	TRANSCRIPT_gene-TPANIC_RS01885	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	3
TPANIC_RS01895	gene-TPANIC_RS01895	TRANSCRIPT_gene-TPANIC_RS01895	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3
TPANIC_RS01910	gene-TPANIC_RS01910	TRANSCRIPT_gene-TPANIC_RS01910	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01915	gene-TPANIC_RS01915	TRANSCRIPT_gene-TPANIC_RS01915	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS01930	gene-TPANIC_RS01930	TRANSCRIPT_gene-TPANIC_RS01930	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS01975	gene-TPANIC_RS01975	TRANSCRIPT_gene-TPANIC_RS01975	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS01980	gene-TPANIC_RS01980	TRANSCRIPT_gene-TPANIC_RS01980	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS01990	gene-TPANIC_RS01990	TRANSCRIPT_gene-TPANIC_RS01990	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS01995	gene-TPANIC_RS01995	TRANSCRIPT_gene-TPANIC_RS01995	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
TPANIC_RS02015	gene-TPANIC_RS02015	TRANSCRIPT_gene-TPANIC_RS02015	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02020	gene-TPANIC_RS02020	TRANSCRIPT_gene-TPANIC_RS02020	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02055	gene-TPANIC_RS02055	TRANSCRIPT_gene-TPANIC_RS02055	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02060	gene-TPANIC_RS02060	TRANSCRIPT_gene-TPANIC_RS02060	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02065	gene-TPANIC_RS02065	TRANSCRIPT_gene-TPANIC_RS02065	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02070	gene-TPANIC_RS02070	TRANSCRIPT_gene-TPANIC_RS02070	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
TPANIC_RS02080	gene-TPANIC_RS02080	TRANSCRIPT_gene-TPANIC_RS02080	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS02085	gene-TPANIC_RS02085	TRANSCRIPT_gene-TPANIC_RS02085	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS02090	gene-TPANIC_RS02090	TRANSCRIPT_gene-TPANIC_RS02090	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	1
TPANIC_RS02095	gene-TPANIC_RS02095	TRANSCRIPT_gene-TPANIC_RS02095	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	1
TPANIC_RS02100	gene-TPANIC_RS02100	TRANSCRIPT_gene-TPANIC_RS02100	protein_coding	0	0	1	4	0	0	0	0	4	0	1	0	0	0	0
TPANIC_RS02105	gene-TPANIC_RS02105	TRANSCRIPT_gene-TPANIC_RS02105	protein_coding	0	0	1	4	0	0	0	0	3	0	1	0	0	0	1
TPANIC_RS02110	gene-TPANIC_RS02110	TRANSCRIPT_gene-TPANIC_RS02110	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	2
TPANIC_RS02115	gene-TPANIC_RS02115	TRANSCRIPT_gene-TPANIC_RS02115	protein_coding	0	1	2	2	0	0	0	0	0	0	2	0	0	1	2
TPANIC_RS02120	gene-TPANIC_RS02120	TRANSCRIPT_gene-TPANIC_RS02120	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0
TPANIC_RS02125	gene-TPANIC_RS02125	TRANSCRIPT_gene-TPANIC_RS02125	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0
TPANIC_RS02130	gene-TPANIC_RS02130	TRANSCRIPT_gene-TPANIC_RS02130	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
TPANIC_RS02135	gene-TPANIC_RS02135	TRANSCRIPT_gene-TPANIC_RS02135	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3
TPANIC_RS02140	gene-TPANIC_RS02140	TRANSCRIPT_gene-TPANIC_RS02140	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3
TPANIC_RS02145	gene-TPANIC_RS02145	TRANSCRIPT_gene-TPANIC_RS02145	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3
TPANIC_RS02150	gene-TPANIC_RS02150	TRANSCRIPT_gene-TPANIC_RS02150	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02160	gene-TPANIC_RS02160	TRANSCRIPT_gene-TPANIC_RS02160	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
TPANIC_RS02165	gene-TPANIC_RS02165	TRANSCRIPT_gene-TPANIC_RS02165	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02170	gene-TPANIC_RS02170	TRANSCRIPT_gene-TPANIC_RS02170	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02180	gene-TPANIC_RS02180	TRANSCRIPT_gene-TPANIC_RS02180	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02185	gene-TPANIC_RS02185	TRANSCRIPT_gene-TPANIC_RS02185	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02190	gene-TPANIC_RS02190	TRANSCRIPT_gene-TPANIC_RS02190	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
TPANIC_RS02195	gene-TPANIC_RS02195	TRANSCRIPT_gene-TPANIC_RS02195	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS02205	gene-TPANIC_RS02205	TRANSCRIPT_gene-TPANIC_RS02205	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS02230	gene-TPANIC_RS02230	TRANSCRIPT_gene-TPANIC_RS02230	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7
TPANIC_RS02235	gene-TPANIC_RS02235	TRANSCRIPT_gene-TPANIC_RS02235	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0
TPANIC_RS02245	gene-TPANIC_RS02245	TRANSCRIPT_gene-TPANIC_RS02245	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0
TPANIC_RS02250	gene-TPANIC_RS02250	TRANSCRIPT_gene-TPANIC_RS02250	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0
TPANIC_RS02255	gene-TPANIC_RS02255	TRANSCRIPT_gene-TPANIC_RS02255	protein_coding	1	0	0	7	0	0	0	0	7	1	0	0	0	0	0
TPANIC_RS02260	gene-TPANIC_RS02260	TRANSCRIPT_gene-TPANIC_RS02260	protein_coding	0	0	7	1	0	0	0	0	0	0	7	0	0	0	1
TPANIC_RS02270	gene-TPANIC_RS02270	TRANSCRIPT_gene-TPANIC_RS02270	protein_coding	0	0	0	9	0	0	0	0	8	0	0	0	0	0	1
TPANIC_RS02275	gene-TPANIC_RS02275	TRANSCRIPT_gene-TPANIC_RS02275	protein_coding	0	0	0	9	0	0	0	0	8	0	0	0	0	0	1
TPANIC_RS02280	gene-TPANIC_RS02280	TRANSCRIPT_gene-TPANIC_RS02280	protein_coding	0	0	0	10	0	0	0	0	8	0	0	0	0	0	2
TPANIC_RS02285	gene-TPANIC_RS02285	TRANSCRIPT_gene-TPANIC_RS02285	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS02290	gene-TPANIC_RS02290	TRANSCRIPT_gene-TPANIC_RS02290	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
TPANIC_RS02300	gene-TPANIC_RS02300	TRANSCRIPT_gene-TPANIC_RS02300	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
TPANIC_RS02305	gene-TPANIC_RS02305	TRANSCRIPT_gene-TPANIC_RS02305	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS02310	gene-TPANIC_RS02310	TRANSCRIPT_gene-TPANIC_RS02310	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS02315	gene-TPANIC_RS02315	TRANSCRIPT_gene-TPANIC_RS02315	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS02330	gene-TPANIC_RS02330	TRANSCRIPT_gene-TPANIC_RS02330	protein_coding	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1
TPANIC_RS02335	gene-TPANIC_RS02335	TRANSCRIPT_gene-TPANIC_RS02335	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02340	gene-TPANIC_RS02340	TRANSCRIPT_gene-TPANIC_RS02340	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1
TPANIC_RS02345	gene-TPANIC_RS02345	TRANSCRIPT_gene-TPANIC_RS02345	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS02350	gene-TPANIC_RS02350	TRANSCRIPT_gene-TPANIC_RS02350	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	4
TPANIC_RS02355	gene-TPANIC_RS02355	TRANSCRIPT_gene-TPANIC_RS02355	protein_coding	0	1	0	6	0	0	0	0	1	0	0	0	0	1	5
TPANIC_RS02360	gene-TPANIC_RS02360	TRANSCRIPT_gene-TPANIC_RS02360	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	6
TPANIC_RS02370	gene-TPANIC_RS02370	TRANSCRIPT_gene-TPANIC_RS02370	protein_coding	0	0	3	5	0	0	0	0	1	0	3	0	0	0	4
TPANIC_RS02375	gene-TPANIC_RS02375	rna-TPANIC_RS02375	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	6
TPANIC_RS02380	gene-TPANIC_RS02380	rna-TPANIC_RS02380	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	6
TPANIC_RS02385	gene-TPANIC_RS02385	TRANSCRIPT_gene-TPANIC_RS02385	protein_coding	0	0	0	8	0	0	0	0	2	0	0	0	0	0	6
TPANIC_RS02390	gene-TPANIC_RS02390	TRANSCRIPT_gene-TPANIC_RS02390	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	4
TPANIC_RS02410	gene-TPANIC_RS02410	TRANSCRIPT_gene-TPANIC_RS02410	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS02415	gene-TPANIC_RS02415	TRANSCRIPT_gene-TPANIC_RS02415	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
TPANIC_RS02420	gene-TPANIC_RS02420	TRANSCRIPT_gene-TPANIC_RS02420	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
TPANIC_RS02445	gene-TPANIC_RS02445	TRANSCRIPT_gene-TPANIC_RS02445	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS02450	gene-TPANIC_RS02450	TRANSCRIPT_gene-TPANIC_RS02450	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS02455	gene-TPANIC_RS02455	TRANSCRIPT_gene-TPANIC_RS02455	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
TPANIC_RS02460	gene-TPANIC_RS02460	rna-TPANIC_RS02460	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS02465	gene-TPANIC_RS02465	rna-TPANIC_RS02465	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS02470	gene-TPANIC_RS02470	rna-TPANIC_RS02470	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2
TPANIC_RS02480	gene-TPANIC_RS02480	TRANSCRIPT_gene-TPANIC_RS02480	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TPANIC_RS02490	gene-TPANIC_RS02490	TRANSCRIPT_gene-TPANIC_RS02490	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02500	gene-TPANIC_RS02500	TRANSCRIPT_gene-TPANIC_RS02500	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02505	gene-TPANIC_RS02505	TRANSCRIPT_gene-TPANIC_RS02505	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
TPANIC_RS02520	gene-TPANIC_RS02520	TRANSCRIPT_gene-TPANIC_RS02520	protein_coding	0	0	10	1	0	0	0	0	0	0	10	0	0	0	1
TPANIC_RS02535	gene-TPANIC_RS02535	TRANSCRIPT_gene-TPANIC_RS02535	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	1
TPANIC_RS02540	gene-TPANIC_RS02540	TRANSCRIPT_gene-TPANIC_RS02540	protein_coding	0	0	0	11	0	0	0	0	10	0	0	0	0	0	1
TPANIC_RS02550	gene-TPANIC_RS02550	TRANSCRIPT_gene-TPANIC_RS02550	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TPANIC_RS02555	gene-TPANIC_RS02555	TRANSCRIPT_gene-TPANIC_RS02555	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02580	gene-TPANIC_RS02580	TRANSCRIPT_gene-TPANIC_RS02580	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02585	gene-TPANIC_RS02585	TRANSCRIPT_gene-TPANIC_RS02585	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS02590	gene-TPANIC_RS02590	TRANSCRIPT_gene-TPANIC_RS02590	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
TPANIC_RS02595	gene-TPANIC_RS02595	TRANSCRIPT_gene-TPANIC_RS02595	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
TPANIC_RS02600	gene-TPANIC_RS02600	TRANSCRIPT_gene-TPANIC_RS02600	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02605	gene-TPANIC_RS02605	TRANSCRIPT_gene-TPANIC_RS02605	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
TPANIC_RS02610	gene-TPANIC_RS02610	TRANSCRIPT_gene-TPANIC_RS02610	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
TPANIC_RS02620	gene-TPANIC_RS02620	TRANSCRIPT_gene-TPANIC_RS02620	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
TPANIC_RS02625	gene-TPANIC_RS02625	TRANSCRIPT_gene-TPANIC_RS02625	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02635	gene-TPANIC_RS02635	TRANSCRIPT_gene-TPANIC_RS02635	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02640	gene-TPANIC_RS02640	TRANSCRIPT_gene-TPANIC_RS02640	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02645	gene-TPANIC_RS02645	rna-TPANIC_RS02645	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02650	gene-TPANIC_RS02650	TRANSCRIPT_gene-TPANIC_RS02650	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TPANIC_RS02660	gene-TPANIC_RS02660	TRANSCRIPT_gene-TPANIC_RS02660	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS02670	gene-TPANIC_RS02670	TRANSCRIPT_gene-TPANIC_RS02670	protein_coding	0	0	1	16	0	1	0	0	0	0	0	0	0	0	16
TPANIC_RS02675	gene-TPANIC_RS02675	TRANSCRIPT_gene-TPANIC_RS02675	protein_coding	0	0	0	26	0	0	0	0	1	0	0	0	0	0	25
TPANIC_RS02680	gene-TPANIC_RS02680	TRANSCRIPT_gene-TPANIC_RS02680	protein_coding	0	0	0	26	0	0	0	0	1	0	0	0	0	0	25
TPANIC_RS02695	gene-TPANIC_RS02695	TRANSCRIPT_gene-TPANIC_RS02695	protein_coding	2	3	17	3	0	0	1	2	0	2	14	0	0	3	3
TPANIC_RS02700	gene-TPANIC_RS02700	TRANSCRIPT_gene-TPANIC_RS02700	protein_coding	0	0	0	25	0	0	0	0	0	0	0	0	0	0	25
TPANIC_RS02710	gene-TPANIC_RS02710	TRANSCRIPT_gene-TPANIC_RS02710	protein_coding	0	0	0	17	0	0	0	0	16	0	0	0	0	0	1
TPANIC_RS02715	gene-TPANIC_RS02715	TRANSCRIPT_gene-TPANIC_RS02715	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS02720	gene-TPANIC_RS02720	rna-TPANIC_RS02720	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TPANIC_RS02725	gene-TPANIC_RS02725	TRANSCRIPT_gene-TPANIC_RS02725	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0
TPANIC_RS02730	gene-TPANIC_RS02730	TRANSCRIPT_gene-TPANIC_RS02730	protein_coding	0	0	1	7	0	0	0	0	7	0	1	0	0	0	0
TPANIC_RS02735	gene-TPANIC_RS02735	TRANSCRIPT_gene-TPANIC_RS02735	protein_coding	0	0	0	9	0	0	0	0	1	0	0	0	0	0	8
TPANIC_RS02745	gene-TPANIC_RS02745	TRANSCRIPT_gene-TPANIC_RS02745	protein_coding	0	0	0	9	0	0	0	0	8	0	0	0	0	0	1
TPANIC_RS02750	gene-TPANIC_RS02750	TRANSCRIPT_gene-TPANIC_RS02750	protein_coding	0	5	0	4	0	0	0	0	3	0	0	0	0	5	1
TPANIC_RS02765	gene-TPANIC_RS02765	TRANSCRIPT_gene-TPANIC_RS02765	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0
